key,key:audit,subject,assesment,auditingPeriodInitial,auditingPeriodEnd,mark,furtherInformation,draftMode
record-01,audit-01,A,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-02,audit-01,AB,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-03,audit-01,Esta asignatura débiles tiene el máximo de caracteres que es 75 ###########,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-04,audit-10,Esta asignatura débiles tiene el máximo de caracteres menos 1 que es 74 ##,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-05,audit-10,Мне становится скучно,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-06,audit-10,変な言葉で書かれた普通のタイトル,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-07,audit-09,<script>alert('This value is invalid')</script>,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-08,audit-09,<h1>Hello</h1>,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-09,audit-09,? ??rm#| ~|?T0{r}I@l,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-10,audit-08,subject,Esta assesment débiles tiene el máximo de caracteres que es 75 ############,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-11,audit-08,subject,Esta assesment débiles tiene el máximo de caracteres menos 1 que es 74 ###,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-12,audit-08,subject,Мне становится скучно,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-13,audit-07,subject,変な言葉で書かれた普通のタイトル,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-14,audit-07,subject,<script>alert('This value is invalid')</script>,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,false
record-15,audit-07,subject,<h1>Hello</h1>,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,true
record-16,audit-06,subject,? ??rm#| ~|?T0{r}I@l,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,true
record-17,audit-06,subject,assesment,2020/01/31 09:00,2020/02/28 10:00,A_plus,https://link.com,true
record-18,audit-06,subject,assesment,2020/07/30 00:01,2020/08/30 01:01,A_plus,https://link.com,true
record-19,audit-05,subject,assesment,2020/06/30 00:00,2020/08/30 01:00,A_plus,https://link.com,true
record-20,audit-05,subject,assesment,2020/06/30 00:00,2022/07/30 00:00,A_plus,https://link.com,true
record-21,audit-05,subject,assesment,2022/05/30 00:00,2022/06/30 01:00,A_plus,https://link.com,true
record-22,audit-04,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,ftp://user:pass@acme.org,true
record-23,audit-04,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,http://www.acme.com/a?b,true
record-24,audit-04,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,http://www.acme.com/a/b,true
record-25,audit-03,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,F_minus,https://link.com,true
record-26,audit-03,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,F,https://link.com,true
record-27,audit-03,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,C,https://link.com,true
record-28,audit-02,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,B,https://link.com,true
record-29,audit-02,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,A,https://link.com,true
record-30,audit-02,subject,assesment,2022/07/20 00:00,2022/07/29 00:00,A_plus,https://link.com,true
