key,instantiation,displayPeriodInitial,displayPeriodEnding,linkToPicture,slogan,linWebDocument
banner-01,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,https://img.freepik.com/vector-gratis/banner-pruebas-software_80328-15.jpg,normal slogan,http://link.com
banner-02,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,ftp://user:pass@acme.org,normal slogan,http://link.com
banner-03,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://www.acme.com/a?b,normal slogan,http://link.com
banner-04,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://www.acme.com/a/b,normal slogan,http://link.com
banner-05,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,A,http://link.com
banner-06,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,AB,http://link.com
banner-07,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,Este slogan tiene el máximo de caracteres que es 75 #######################,http://link.com
banner-08,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,Este slogan tiene el máximo de caracteres menos 1 que es 74 ##############,http://link.com
banner-09,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,Мне становится скучно,http://link.com
banner-10,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,変な言葉で書かれた普通のタイトル,http://link.com
banner-11,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,<script>alert('This value is invalid')</script>,http://link.com
banner-12,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,<h1>Hello</h1>,http://link.com
banner-13,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,? ??rm#| ~|?T0{r}I@l,http://link.com
banner-14,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,normal slogan,http://link.com
banner-15,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,normal slogan,http://link.com
banner-16,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,normal slogan,ftp://user:pass@acme.org
banner-17,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,normal slogan,http://www.acme.com/a?b
banner-18,2020/01/31 09:00,2020/02/01 09:00,2020/02/01 09:00,http://link.com,normal slogan,http://www.acme.com/a/b
banner-19,2020/01/31 09:00,2024/01/31 09:00,2024/02/28 09:00,http://link.com,normal slogan,http://link.com
banner-20,2020/01/31 09:00,2022/07/30 00:01,2022/08/30 00:00,http://link.com,normal slogan9,http://link.com
banner-21,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,http://link.com,normal slogan8,http://link.com
banner-22,2020/01/31 09:00,2022/06/30 00:00,2022/07/30 00:00,http://link.com,normal slogan,http://link.com
banner-23,2020/01/31 09:00,2022/05/30 00:00,2022/06/30 00:00,http://link.com,normal slogan,http://link.com
banner-24,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,https://img.freepik.com/vector-gratis/banner-pruebas-software_80328-15.jpg,normal slogan1,http://link.com
banner-25,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,https://cdn.computerhoy.com/sites/navi.axelspringer.es/public/media/image/2022/05/seran-anuncios-netflix-2715375.jpg?tf=3840x,normal slogan2,http://link.com
banner-26,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,https://www.oberlo.com/media/1624032277-anuncios-publicitarios-ejemplos-de-publicidad-informativa.png?fit=max&fm=jpg&w=1440º,normal slogan3,http://link.com
banner-27,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,https://www.cinconoticias.com/wp-content/uploads/anuncios-publicitarios-con-eslogan.jpg,normal slogan4,http://link.com
banner-28,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpvbRdr1BndZ_5Zeu4HuPConO7rR6u9EDPqg&usqp=CAU,normal slogan5,http://link.com
banner-29,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,https://play-lh.googleusercontent.com/P2VMEenhpIsubG2oWbvuLGrs0GyyzLiDosGTg8bi8htRXg9Uf0eUtHiUjC28p1jgHzo,normal slogan6,http://link.com
banner-30,2020/01/31 09:00,2022/06/30 00:00,2022/08/30 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRthgfzgGjgBvzfxk6-T-xM6CchH3Oi47u1N5MQOA0EB3KwbjYwhJ4NleO5wCQD9NorvBI&usqp=CAU,normal slogan7,http://link.com
