key,key:practicum,title,abstractSession,start,finish,link,extraSession
practicumSession-01,practicum-01,normal title,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-02,practicum-01,a,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-03,practicum-01,ab,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-04,practicum-01,Normal title with 74 characterssssssssssssssssssssssssssssssssssssssssssss,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-05,practicum-01,Normal title with 75 charactersssssssssssssssssssssssssssssssssssssssssssss,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-06,practicum-01,<b>normal title</b>,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-07,practicum-01,κανονικός τίτλος,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-08,practicum-01,normal title,a,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-09,practicum-01,normal title,ab,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-10,practicum-01,normal title,Normal summary with 99 charactersssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-11,practicum-01,normal title,Normal summary with 100 charactersssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-12,practicum-01,normal title,"<script>alert(""hi"")</script>",2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-13,practicum-01,normal title,κανονική περίληψη,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-14,practicum-01,normal title,normal summary,2022/01/13 12:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-15,practicum-01,normal title,normal summary,2022/01/01 00:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-16,practicum-01,normal title,normal summary,2021/12/31 23:59,2023/06/03 09:00,http://normalLink.com,false
practicumSession-17,practicum-01,normal title,normal summary,2023/01/01 12:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-18,practicum-01,normal title,normal summary,2023/12/31 00:00,2023/06/03 09:00,http://normalLink.com,false
practicumSession-19,practicum-01,normal title,normal summary,2023/11/03 09:00,2024/01/13 12:00,http://normalLink.com,false
practicumSession-20,practicum-01,normal title,normal summary,2023/11/03 09:00,2024/01/01 00:00,http://normalLink.com,false
practicumSession-21,practicum-01,normal title,normal summary,2023/11/03 09:00,2023/12/31 23:59,http://normalLink.com,false
practicumSession-22,practicum-01,normal title,normal summary,2023/11/03 09:00,2024/01/01 12:00,http://normalLink.com,false
practicumSession-23,practicum-01,normal title,normal summary,2023/11/03 09:00,2024/12/31 00:00,http://normalLink.com,false
practicumSession-24,practicum-01,normal title,normal summary,2023/01/03 09:00,2023/06/03 09:00,null,false
practicumSession-25,practicum-01,normal title,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://www.acme.com/a?b,false
practicumSession-26,practicum-01,normal title,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://www.acme.com/a/b,false
practicumSession-27,practicum-01,normal title,normal summary,2023/01/03 09:00,2023/06/03 09:00,,false
practicumSession-28,practicum-01,normal title,normal summary,2023/01/03 09:00,2023/06/03 09:00,ftp://user:pass@acme.org,false
practicumSession-29,practicum-04,normal title,normal summary,2023/01/03 09:00,2023/06/03 09:00,http://normalLink.com,false
